model_name,link,open_data,finetune,size,time,verilogeval_machine,verilogeval_human,RTLLM_V1_0_Syntax,RTLLM_V1_0_Func,RTLLM_V1_1_Syntax,RTLLM_V1_1_Func,RTLLM_V1_1_Syntax(p@5),RTLLM_V1_1_Func(p@5),RTLLM_V2_Syntax,RTLLM_V2_Func,RTLLM_V2_Syntax(p@5),RTLLM_V2_Func(p@5),VerilogEvalV2,RealBench_Module_Syntax,RealBench_Module_Func,RealBench_System_Syntax,RealBench_System_Func
ITERTL-DeepSeek-10k,https://arxiv.org/pdf/2407.12022,NONE,TRUE,6.7,20240628,61.5,42.3,,,,,,,,,,,,,,,
ITERTL-DeepSeek-22k,https://arxiv.org/pdf/2407.12022,NONE,TRUE,6.7,20240628,60.8,45.5,,,,,,,,,,,,,,,
ITERTL-DeepSeekV2-7k,https://arxiv.org/pdf/2407.12022,NONE,TRUE,16,20240628,61.5,53.8,,,,,,,,,,,,,,,
OriGen-DeepSeek-Coder-7B-Instruct,https://arxiv.org/pdf/2407.16237,Full,TRUE,7,20240723,74.1,54.4,,,,,,65.5,,,,,,,,,
AIvirl-Claude-3.5-Sonnet,https://arxiv.org/pdf/2409.11411,NONE,FALSE,null,20240903,,70.51,,,,,,,,,,,,,,,
AIvirl-GPT-4o,https://arxiv.org/pdf/2409.11411,NONE,FALSE,null,20240903,,64.74,,,,,,,,,,,,,,,
AIvirl-Llama3-70B,https://arxiv.org/pdf/2409.11411,Partial,FALSE,70,20240903,,54.48,,,,,,,,,,,,,,,
AIvirl2-Llama3-70B,https://arxiv.org/pdf/2409.11411,Partial,FALSE,70,20241121,,55.13,,,,,,,,,,,,,,,
AIvirl2-GPT-4o,https://arxiv.org/pdf/2409.11411,NONE,FALSE,null,20241121,,72.44,,,,,,,,,,,,,,,
AIvirl2-Claude-3.5-Sonnet,https://arxiv.org/pdf/2409.11411,NONE,FALSE,null,20241121,,77,,,,,,,,,,,,,,,
MAGE-Claude-3.5-Sonnet-2024-10-22,https://arxiv.org/pdf/2412.07822,NONE,FALSE,null,20250729,,94.8,,,,,,,,,,,95.7,,,,
RTLSquad-LLaMA,https://arxiv.org/pdf/2501.05470,Partial,FALSE,70,20250105,,,,,,,,,,,,58,,,,,
RTLSquad-Deepseek,https://arxiv.org/pdf/2501.05470,NONE,FALSE,null,20250105,,,,,,,,,,,,72.0 ,,,,,
VeriMind-GPT-4o-mini,https://arxiv.org/pdf/2503.16514,NONE,FALSE,null,20250315,60.1,44.2,,,,,,,,,,,,,,,
VeriMind-Claude3.5-Sonnet,https://arxiv.org/pdf/2503.16514,NONE,FALSE,null,20250315,74.8,56.4,,,,,,,,,,,,,,,
VeriMind-CodeLlama-70b-Instruct,https://arxiv.org/pdf/2503.16514,Partial,FALSE,70,20250315,54.5,40.4,,,,,,,,,,,,,,,
VeriMind-Deep-Seek-Coder-V2-Instruct,https://arxiv.org/pdf/2503.16514,Partial,FALSE,16,20250315,63.6,48.1,,,,,,,,,,,,,,,
VeriMind-PyraNet-DeepSeek,https://arxiv.org/pdf/2503.16514,Partial,FALSE,7,20250315,77.6,58.3,,,,,,,,,,,,,,,
VFlow,https://arxiv.org/pdf/2504.03723,NONE,FALSE,null,20250330,84.3,82.8,,,,,,,,,,,,,,,
VeriCoder-Qwen2.5-14B-Instruct,https://arxiv.org/pdf/2504.15659,Full,TRUE,14,20250422,55.7,38.3,,,,,79.3,48.3,,,,,,,,,
ChiselLLM-32B,https://arxiv.org/pdf/2504.19144,Partial,TRUE,32,20250427,,51.43,,,,,,,,42.32,,,,,,,
ChiseLLM-7B,https://arxiv.org/pdf/2504.19144,Partial,TRUE,7,20250427,,29.41,,,,,,,,22,,,,,,,
VeriReason-Qwen2.5-1.5B,https://arxiv.org/pdf/2505.11849,Full,TRUE,1.5,20250317,44.7,23.5,,,,,,,,,,,,,,,
VeriReason-Qwen2.5-3B,https://arxiv.org/pdf/2505.11849,Full,TRUE,3,20250317,55.9,33.2,,,,,,,,,,,,,,,
VeriReason-Qwen2.5-7B,https://arxiv.org/pdf/2505.11849,Full,TRUE,7,20250317,69.8,47.9,,,,,,,,,,,,,,,
VeriReason-codeLlama-7B,https://arxiv.org/pdf/2505.11849,Full,TRUE,7,20250317,51.3,27.5,,,,,,,,,,,,,,,
RTL++ @ 200K Trained,https://arxiv.org/pdf/2505.13479,NONE,TRUE,7,20250511,,59.9,,,,,93.9,51.7,,,,,,,,,
ScaleRTL-32B,https://arxiv.org/pdf/2506.05566,NONE,TRUE,32,20250605,80,76.3,,,,55.5,,75.4,,,,,,,,,
ScaleRTL†-32B,https://arxiv.org/pdf/2506.05566,NONE,TRUE,32,20250605,83.2,80.4,,,,60.7,,78.5,,,,,,,,,
DeepRTL2-Llama,https://arxiv.org/pdf/2506.15697,NONE,TRUE,8,20250528,,,,,,,,,68.3,33.7,81.31,49.57,,,,,
DeepRTL2-DeepSeek,https://arxiv.org/pdf/2507.02226,NONE,TRUE,6.7,20250528,,,,,,,,,71.6,38.5,80.58,52.62,,,,,
DecoRTL-CodeLlama-7B,https://arxiv.org/pdf/2507.02226,NONE,FALSE,7,20250702,,32,,,,,,,,,,,,,,,
DecoRTL-QwenCoder-14B,https://arxiv.org/pdf/2507.02226,NONE,FALSE,14,20250702,,54.4,,,,,,,,,,,,,,,
DecoRTL-CodeV,https://arxiv.org/pdf/2507.02226,NONE,FALSE,7,20250702,,69.8,,,,,,,,,,,,,,,
ChipSeek-SFT,https://arxiv.org/pdf/2507.04736,NONE,TRUE,7,20250707,57.3,34.7,,,,,86.2,44.4,,,,,,,,,
ChipSeek-R1,https://arxiv.org/pdf/2507.04736,NONE,TRUE,7,20250707,84.1,62.2,,,,,96.6,82.8,,,,,,,,,
"Understanding and Mitigating Errors of
LLM-Generated RTL Code-Qwen-Coder-32BInstruction",https://arxiv.org/pdf/2508.05266,NONE,FALSE,32,20250807,,76.9,,,,,,,,,,,78.1,,,,
"Understanding and Mitigating Errors of
LLM-Generated RTL Code-GPT-3.5 Turbo",https://arxiv.org/pdf/2508.05266,NONE,FALSE,null,20250807,,73.1,,,,,,,,,,,72.4,,,,
"Understanding and Mitigating Errors of
LLM-Generated RTL Code-GPT-4.5 Turbo",https://arxiv.org/pdf/2508.05266,NONE,FALSE,null,20250807,,91,,,,,,,,,,,90.4,,,,
Llama-3.1-8B,https://arxiv.org/pdf/2407.21783,Partial,FALSE,8,0,,,,,,,,,,,,,,10.3,2.9,0,0
Llama-3.1-405B,https://arxiv.org/pdf/2407.21783,Partial,FALSE,405,0,,,,,,,,,,,,,,6.6,2.8,0,0
DeepSeek-V3-671B,https://arxiv.org/abs/2412.19437,Partial,FALSE,671,0,,,,,,,,,,,,,,24.9,12.8,41.3,0
DeepSeek-R1-671B,https://arxiv.org/abs/2501.12948,Partial,FALSE,671,0,,,,,,,,,,,,,,13.4,8,16.3,0
